,Overall Pick,Teams,year,College,Seasons in NBA,# Games,Minutes Played,Points,Total Rebounds,Assists,Field Goal %,3 Point Field Goal %,Free Throw %,Minutes Played per Game,Points per Game,Total Rebounds per Game,Assists per Game,Win Shares,Win Shares per 48 Minutes,Box +-,VORP,Height,Weight,First Position
278,14,OKC,2015,Murray State,7,261,4531,1924,559,767,.421,.365,.835,17.4,7.4,2.1,2.9,7.2,.076,-0.6,1.6,183.11090909090908,83.007336,Point Guard
279,15,ATL,2015,Kansas,7,448,11321,5382,1950,452,.436,.335,.755,25.3,12.0,4.4,1.0,16.7,.071,-1.8,0.6,201.12181818181818,92.079176,Small Forward
280,16,BOS,2015,Louisville,7,446,11353,5395,1724,1351,.412,.376,.813,25.5,12.1,3.9,3.0,21.0,.089,0.4,7.0,183.11090909090908,86.18248,Point Guard
281,17,MIL,2015,UNLV,3,139,1671,423,158,75,.337,.313,.692,12.0,3.0,1.1,0.5,-0.6,-.017,-4.7,-1.2,198.12,91.625584,Shooting Guard
282,18,HOU,2015,Wisconsin,5,201,3097,1094,607,160,.478,.288,.606,15.4,5.4,3.0,0.8,5.4,.083,-1.4,0.5,207.12545454545457,104.32616,Power Forward
283,19,WAS,2015,Notre Dame,5,279,4998,1692,530,805,.411,.323,.770,17.9,6.1,1.9,2.9,8.3,.080,-1.6,0.5,192.11636363636364,92.98636,Point Guard
284,20,TOR,2015,Utah,7,378,7917,2803,1217,1167,.453,.356,.793,20.9,7.4,3.2,3.1,21.0,.127,2.0,8.1,195.11818181818182,83.91452,Point Guard
285,21,DAL,2015,Virginia,6,232,3041,1203,585,160,.412,.293,.776,13.1,5.2,2.5,0.7,4.7,.074,-1.4,0.4,198.12,104.32616,Small Forward
286,22,CHI,2015,Arkansas,7,424,9040,4606,2735,503,.469,.384,.753,21.3,10.9,6.5,1.2,19.0,.101,-0.8,2.9,183.11090909090908,113.398,Power Forward
287,23,POR,2015,Arizona,6,305,6759,2760,1684,579,.449,.212,.735,22.2,9.0,5.5,1.9,12.9,.091,-0.7,2.3,198.12,98.429464,Small Forward
288,24,CLE,2015,Duke,7,427,7777,2544,745,1556,.436,.347,.828,18.2,6.0,1.7,3.6,17.3,.107,0.3,4.5,180.10909090909092,88.904032,Point Guard
289,25,MEM,2015,LSU,4,184,2927,998,639,114,.434,.346,.766,15.9,5.4,3.5,0.6,3.2,.053,-4.3,-1.7,183.11090909090908,108.408488,Power Forward
290,27,LAL,2015,Wyoming,7,387,9345,3144,2538,739,.528,.330,.684,24.1,8.1,6.6,1.9,24.3,.125,1.1,7.3,201.12181818181818,111.13004,Power Forward
291,28,BOS,2015,Georgia State University,4,45,395,133,46,19,.371,.295,.818,8.8,3.0,1.0,0.4,0.4,.051,-2.0,0.0,195.11818181818182,83.91452,Shooting Guard
292,29,BRK,2015,Syracuse,3,59,532,194,112,15,.426,.306,.548,9.0,3.3,1.9,0.3,0.6,.054,-2.5,-0.1,183.41109090909092,90.7184,Power Forward
